transaction_id,account_age,transaction_amount,transaction_type,location,is_fraud
TX0,103.0,154.23910457138962,saque,online,0
TX1,180.0,2.859674141901827,saque,online,0
TX2,93.0,59.58204004436515,saque,online,0
TX3,15.0,119.54691911579086,transferência,online,0
TX4,107.0,236.12217372879428,saque,online,0
TX5,72.0,264.22149364674306,saque,fisico,0
TX6,189.0,1077.2773336994098,transferência,online,0
TX7,21.0,67.79821707924266,saque,fisico,0
TX8,103.0,154.5333824781773,compra,fisico,0
TX9,122.0,152.4238166788931,transferência,online,0
TX10,211.0,104.0557863116872,transferência,online,0
TX11,215.0,37.064064241557794,transferência,fisico,0
TX12,75.0,758.4622611356139,compra,fisico,0
TX13,203.0,383.8965511775718,transferência,fisico,0
TX14,88.0,137.9637564832202,transferência,online,0
TX15,117.0,184.88747652277786,transferência,fisico,0
TX16,100.0,51.562800451625534,transferência,online,0
TX17,,156.95912551202036,compra,online,0
TX18,152.0,237.4691165954207,saque,fisico,0
TX19,131.0,144.79016715718456,saque,online,0
TX20,150.0,926.8203510460675,transferência,fisico,0
TX21,53.0,,compra,fisico,0
TX22,2.0,92.7164461547369,transferência,online,0
TX23,88.0,295.8153320436613,saque,online,0
TX24,236.0,37.377395275690375,saque,fisico,0
TX25,158.0,97.06920522860668,compra,online,0
TX26,38.0,85.22305771075393,saque,online,0
TX27,130.0,113.05885932602338,transferência,fisico,0
TX28,192.0,304.4501506136853,compra,online,0
TX29,188.0,132.39678067749793,saque,fisico,0
TX30,21.0,315.9898519150231,transferência,fisico,0
TX31,161.0,171.83511249878362,compra,online,0
TX32,204.0,83.73117540410482,transferência,fisico,0
TX33,58.0,332.12386754581723,saque,online,0
TX34,22.0,54.4377881303494,transferência,fisico,0
TX35,236.0,50.81928225902078,compra,online,0
TX36,89.0,140.43876529003282,transferência,fisico,0
TX37,49.0,60.45067629872475,saque,fisico,0
TX38,219.0,1.8257147777313114,compra,online,0
TX39,59.0,208.9939417631036,compra,online,0
TX40,170.0,143.11693437344837,saque,online,0
TX41,220.0,117.94411996740766,transferência,online,0
TX42,188.0,682.0588139813656,transferência,online,0
TX43,208.0,169.3525532311585,saque,online,0
TX44,15.0,398.1859056661058,compra,online,0
TX45,190.0,30.036766749561476,saque,online,0
