area,bedrooms,bathrooms,floors,year_built,location,garage,value
174.83570765056163,2.0,2.0,2.0,1919.0,Zona Norte,3.0,664379.908881726
143.08678494144075,1.0,1.0,2.0,1959.0,Zona Norte,0.0,501897.6797021678
182.38442690503462,5.0,2.0,1.0,1939.0,Centro,1.0,803255.9324587389
226.15149282040127,2.0,3.0,1.0,1982.0,Zona Oeste,2.0,922852.4299462028
138.2923312638332,1.0,2.0,1.0,2001.0,Centro,1.0,433672.7840152128
138.29315215254098,5.0,3.0,2.0,1978.0,Zona Norte,0.0,775632.3598302698
228.96064077536957,4.0,1.0,2.0,1905.0,Centro,2.0,937179.6230736811
188.37173645764545,2.0,3.0,1.0,1972.0,Centro,1.0,779935.4527702052
126.5262807032524,4.0,2.0,1.0,1935.0,Zona Sul,3.0,651727.4224264944
177.12800217929822,3.0,2.0,2.0,2011.0,Zona Leste,1.0,836132.6378201372
126.82911535937689,5.0,2.0,1.0,1986.0,Zona Oeste,0.0,615029.4760555227
126.71351232148716,5.0,2.0,1.0,1973.0,Zona Sul,3.0,646451.2903555117
162.0981135783017,2.0,1.0,1.0,1964.0,Zona Leste,1.0,578609.2745339472
54.33598776711011,5.0,3.0,2.0,1910.0,Zona Norte,0.0,426846.26276015997
63.75410837434836,3.0,2.0,2.0,1948.0,Zona Sul,2.0,407519.56112951704
121.88562353795136,5.0,3.0,2.0,2013.0,Zona Leste,1.0,692398.687122882
99.35844398327882,1.0,1.0,2.0,1983.0,Zona Sul,2.0,396997.5457616229
165.7123666297637,4.0,3.0,2.0,1927.0,Centro,3.0,826281.3708398637
104.59879622393944,3.0,2.0,2.0,1921.0,Centro,2.0,475960.03746489726
79.38481493323543,3.0,3.0,2.0,1983.0,Zona Sul,0.0,400264.9440685016
223.28243844607772,4.0,2.0,2.0,1946.0,Zona Sul,3.0,861008.637806917
138.7111849756732,4.0,2.0,2.0,2001.0,Zona Oeste,1.0,760829.4546471755
153.3764102343962,3.0,1.0,1.0,1979.0,Zona Norte,2.0,722012.6399720226
78.76259068932715,4.0,1.0,1.0,1965.0,Centro,3.0,436537.5963666423
122.78086377374086,2.0,3.0,1.0,1924.0,Zona Sul,3.0,569222.7909602252
155.5461294854933,4.0,3.0,1.0,1990.0,Zona Leste,1.0,792136.3417430051
92.45032112888487,1.0,2.0,2.0,1966.0,Zona Norte,1.0,316062.97239984805
168.7849009172836,1.0,2.0,1.0,1986.0,Zona Leste,1.0,641421.8954903851
119.96806550405975,2.0,2.0,1.0,1931.0,Zona Norte,1.0,499616.7610890761
135.41531251033615,4.0,2.0,1.0,1916.0,Zona Leste,2.0,596788.477112709
119.91466938853016,1.0,1.0,2.0,1939.0,Centro,3.0,422508.4779189426
242.6139092254469,5.0,2.0,1.0,1983.0,Zona Sul,1.0,1046322.1735360029
149.3251387631033,4.0,1.0,1.0,1929.0,Zona Sul,3.0,611928.6054681527
97.11445355220499,2.0,3.0,1.0,1958.0,Zona Oeste,,541822.015931957
191.12724560515946,4.0,3.0,2.0,1927.0,Zona Sul,0.0,808642.5439516554
88.95781750144889,3.0,1.0,1.0,1946.0,Centro,0.0,370209.8558612051
160.44317975023776,3.0,2.0,2.0,2008.0,Zona Norte,1.0,726074.1323311715
52.016493806011226,1.0,3.0,2.0,2016.0,Zona Norte,1.0,396034.4810787515
83.59069755507848,3.0,1.0,1.0,1922.0,Zona Sul,0.0,344462.83404270577
159.84306179345617,2.0,3.0,2.0,1982.0,Zona Leste,3.0,692969.3963344047
186.92332899977052,1.0,2.0,2.0,1956.0,Zona Sul,1.0,581417.9596449827
,2.0,1.0,1.0,1988.0,Zona Norte,2.0,631273.5417990808
